TARIF,ACCES_PMR,GESTIONNAIRE,LOC,TYPE,LAT,LONG
payant,oui,Toilette publique  RATP,Cluny - La Sorbonne - 10,SANISETTE,48.85079575570429,2.3450308883652258
gratuit,oui,Toilette publique  RATP,Madeleine - 14,SANISETTE,48.869956563045214,2.3253476474582184
gratuit,non,Toilette publique  RATP,Charles de Gaulle - Etoile - A,SANISETTE,48.8740658,2.2951493
gratuit,oui,Toilette publique  RATP,La Defense (Grande Arche) - A,SANISETTE,48.891826754836515,2.237992043215619
gratuit,oui,Toilette publique  RATP,Nation - A,SANISETTE,48.8484803444062,2.39676520957729
gratuit,non,Toilette publique  RATP,Denfert-Rochereau - B,SANISETTE,48.8332144,2.3333365
gratuit,oui,Toilette publique  RATP,Robinson - fin de ligne - B,SANISETTE,48.78036417660201,2.2816982237256243
gratuit,oui,Toilette publique  RATP,Bibliotheque Francois Mitterrand - 14,SANISETTE,48.82978526345046,2.3776037993133134
gratuit,oui,Toilette publique  RATP,Cour Saint-Emilion - 14,SANISETTE,48.83346,2.38607
gratuit,oui,Toilette publique  RATP,Saint Lazare - 14,SANISETTE,48.87552856932788,2.324120111297863
gratuit,oui,Toilette publique  RATP,Charles de Gaulle - Etoile - A,SANISETTE,48.87346419088715,2.2963810880084012
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.858291026403705,2.3483281842513337
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.858857284381365,2.347769856742684
gratuit,oui,Toilette publique  RATP,Nanterre - Prefecture - A,SANISETTE,48.8971999,2.222709
gratuit,oui,Toilette publique  RATP,Noisy-le-Grand - Mont d'Est - A,SANISETTE,48.84078,2.54804
gratuit,oui,Toilette publique  RATP,Noisy-le-Grand - Mont d'Est - A,SANISETTE,48.84082,2.55154
gratuit,oui,Toilette publique  RATP,Saint-Maur - Creteil - A,SANISETTE,48.80641960896216,2.47204505094563
gratuit,oui,Toilette publique  RATP,Val d'Europe - A,SANISETTE,48.85549704826123,2.7736084332189748
gratuit,oui,Toilette publique  RATP,Villejuif - Louis Aragon - RDS,SANISETTE,48.78730304269838,2.3674101521293744
gratuit,non,Toilette publique  RATP,Bobigny - Pablo Picasso - 5,SANISETTE,48.90717445316718,2.4492666955791327
gratuit,oui,Toilette publique  RATP,Trocadero - 6,SANISETTE,48.86419500504601,2.2878473386642373
gratuit,oui,Toilette publique  RATP,Gare de Lyon - A,SANISETTE,48.84436,2.37291
gratuit,oui,Toilette publique  RATP,Marne-la-Vallee - Chessy - A,SANISETTE,48.86849697024026,2.7822597305629526
gratuit,oui,Toilette publique  RATP,Nogent-sur-Marne - A,SANISETTE,48.83510877417377,2.4716839161590887
gratuit,oui,Toilette publique  RATP,Gentilly - B,SANISETTE,48.8153713,2.3408362
gratuit,non,Toilette publique  RATP,Charles de Gaulle - Etoile - 1,SANISETTE,48.87445277569274,2.2963258094953476
gratuit,oui,Toilette publique  RATP,Villejuif - Louis Aragon - 7,SANISETTE,48.78730304269838,2.3674101521293744
gratuit,oui,Toilette publique  RATP,Asnieres-Gennevilliers - Les Courtilles - 13,SANISETTE,48.93074305254229,2.283951123396349
gratuit,oui,Toilette publique  RATP,Pyramides - 14,SANISETTE,48.8656737,2.3344599
gratuit,oui,Toilette publique  RATP,Nanterre - Ville - A,SANISETTE,48.8950462710121,2.1956095209931936
gratuit,oui,Toilette publique  RATP,Saint-Germain-en-Laye - A,SANISETTE,48.8979364,2.0948768
gratuit,oui,Toilette publique  RATP,Gif-sur-Yvette - B,SANISETTE,48.6981859,2.1367431
gratuit,oui,Toilette publique  RATP,Laplace - B,SANISETTE,48.80784404743202,2.3330228065226883
gratuit,oui,Toilette publique  RATP,Les Agnettes - 13,SANISETTE,48.92317699378374,2.28605910172606
gratuit,oui,Toilette publique  RATP,Bercy - 14,SANISETTE,48.84019224440348,2.3794772572660587
gratuit,oui,Toilette publique  RATP,Gare de Lyon - 14,SANISETTE,48.84391523960347,2.3728897698814633
gratuit,oui,Toilette publique  RATP,Olympiades - 14,SANISETTE,48.8269104,2.3661972
gratuit,oui,Toilette publique  RATP,Auber - A,SANISETTE,48.8731477,2.3295277
gratuit,oui,Toilette publique  RATP,Chatelet - A,SANISETTE,48.8622381,2.345496
gratuit,oui,Toilette publique  RATP,Nanterre - Universite - A,SANISETTE,48.901251906231444,2.21599944
gratuit,oui,Toilette publique  RATP,Rueil-Malmaison - A,SANISETTE,48.88722206053287,2.170623204930391
gratuit,oui,Toilette publique  RATP,Antony - B,SANISETTE,48.75482748503882,2.3008650705983067
gratuit,oui,Toilette publique  RATP,Arcueil Cachan - B,SANISETTE,48.798366,2.327766
gratuit,oui,Toilette publique  RATP,Bourg-la-Reine - B,SANISETTE,48.78005093776892,2.3121626259597874
gratuit,non,Toilette publique  RATP,Cite Universitaire - B,SANISETTE,48.8205877,2.3390071
gratuit,oui,Toilette publique  RATP,Massy - Palaiseau - B,SANISETTE,48.725109,2.2606361
gratuit,oui,Toilette publique  RATP,Saint-Remy-les-Chevreuse - B,SANISETTE,48.70286868424979,2.070600214521146
gratuit,Oui,Paris,92102  RUE BLOMET 75015.0,SANISETTE,48.84090598651907,2.300280980817689
gratuit,Oui,Paris,29  RUE MANIN 75019.0,SANISETTE,48.87861935487687,2.3782622313212527
gratuit,Oui,Paris,RUE DE CRIMEE 75019.0,SANISETTE,48.88883561898796,2.3790339650916446
gratuit,Oui,Paris,213  RUE DE BELLEVILLE 75019.0,SANISETTE,48.87544598661789,2.394776616457134
gratuit,Oui,Paris,64  RUE DU VOLGA 75020.0,SANISETTE,48.85271966367163,2.4089887074025595
gratuit,Oui,Paris,face au 375 RUE DES PYRENEES 75020.0,SANISETTE,48.87368018535096,2.389751715108938
gratuit,Oui,Paris,8  RUE D ARCOLE nan,SANISETTE,48.8540198901374,2.3493988910325565
gratuit,Oui,Paris,face au 12 RUE DE BABYLONE nan,SANISETTE,48.851626831079074,2.325180137951545
gratuit,Oui,Paris,face au 4 AVENUE DE MESSINE nan,SANISETTE,48.87541798841174,2.3151151715527374
gratuit,Oui,Paris,29  RUE ROLAND BARTHES 75012.0,SANISETTE,48.8444926838465,2.3774441851341352
gratuit,Oui,Paris,259 bis AVENUE DAUMESNIL 75012.0,SANISETTE,48.83651368622266,2.4043941454835926
gratuit,Oui,Paris,117  BOULEVARD VINCENT AURIOL 75013.0,SANISETTE,48.833717304602885,2.36512631285455
gratuit,Oui,Paris,46  RUE CHARLES MOUREU 75013.0,SANISETTE,48.829082146443014,2.3607783123277315
gratuit,Oui,Paris,face au 40 AVENUE REILLE 75014.0,SANISETTE,48.82444207894634,2.338538930462
gratuit,Oui,Paris,RUE DES MARINIERS 75014.0,SANISETTE,48.82760820526359,2.3111981116311777
gratuit,Non,Paris,JARDIN DE L'HOPITAL SAINTE-PERINE 75016.0,TOILETTES,48.84484410447445,2.2691726044395395
gratuit,Non,Paris,JARDIN PAUL DIDIER 75017.0,TOILETTES,48.89546130163387,2.320485641136297
gratuit,Non,Paris,JARDIN TINO ROSSI - MUSEE DE LA SCULPTURE EN PLEIN AIR 75005.0,TOILETTES,48.84824348066088,2.3591336603820756
gratuit,Non,Paris,RUE BOSSUET 75010.0,URINOIR,48.878782534922934,2.3523454278624474
gratuit,Oui,Paris,38  RUE CAMBRONNE 75015.0,SANISETTE,48.84552661355718,2.301897943958141
gratuit,Oui,Paris,37  RUE MIRABEAU 75016.0,SANISETTE,48.84593889811058,2.2690815555105677
gratuit,Oui,Paris,96 ter RUE LEMERCIER 75017.0,SANISETTE,48.88942282181049,2.318866697645445
gratuit,Oui,Paris,26 bis AVENUE CORENTIN CARIOU 75019.0,SANISETTE,48.89731268179251,2.3856533556850783
gratuit,Oui,Paris,101  RUE ALEXANDRE DUMAS 75020.0,SANISETTE,48.855403987768895,2.400081520777228
gratuit,Oui,Paris,face au 121 RUE DES PYRENEES 75020.0,SANISETTE,48.85704901565088,2.404517268525465
gratuit,Oui,Paris,171  RUE DES PYRENEES 75020.0,SANISETTE,48.86001571292929,2.401021510043811
gratuit,Oui,Paris,73  RUE REAUMUR nan,SANISETTE,48.86679354360574,2.349571365122188
gratuit,Oui,Paris,2  RUE DES QUATRE FILS nan,SANISETTE,48.860059866028,2.360700687397763
gratuit,Oui,Paris,135 bis BOULEVARD DU MONTPARNASSE nan,SANISETTE,48.841202569450836,2.3323286043872686
gratuit,Oui,Paris,75  BOULEVARD SAINT GERMAIN nan,SANISETTE,48.851388278836424,2.342803068261683
gratuit,Oui,Paris,BOULEVARD MALESHERBES nan,SANISETTE,48.87072323445267,2.323053984722453
gratuit,Oui,Paris,11  AVENUE TRUDAINE nan,SANISETTE,48.88166539264047,2.3455162634729594
gratuit,Oui,Paris,PLACE DU COLONEL FABIEN 75010.0,SANISETTE,48.87798177436245,2.3700838988336903
gratuit,Oui,Paris,111  AVENUE DAUMESNIL 75012.0,SANISETTE,48.84498445223605,2.380317848061394
gratuit,Oui,Paris,AVENUE CLAUDE REGAUD 75013.0,SANISETTE,48.822344736321774,2.372763643662198
gratuit,Oui,Paris,117  BOULEVARD MASSENA 75013.0,SANISETTE,48.81958369499793,2.363982338246427
gratuit,Oui,Paris,face au 14 AVENUE RENE COTY 75014.0,SANISETTE,48.83036895346168,2.3338341695483735
gratuit,Oui,Paris,SQUARE RENE LE GALL 75013.0,TOILETTES,48.83133948649257,2.348139168393053
