TYPE;STATUT;ADRESSE;ARRONDISSEMENT;HORAIRE;ACCES_PMR;RELAIS_BEBE;URL_FICHE_EQUIPEMENT;geo_shape;geo_point_2d
SANISETTE;;92102  RUE BLOMET;75015;6 h - 22 h;Oui;;;"{""coordinates"": [[2.300280980817689, 48.84090598651907]], ""type"": ""MultiPoint""}";48.84090598651907,2.300280980817689
SANISETTE;;29  RUE MANIN;75019;24 h / 24;Oui;;;"{""coordinates"": [[2.3782622313212527, 48.87861935487687]], ""type"": ""MultiPoint""}";48.87861935487687,2.3782622313212527
SANISETTE;;RUE DE CRIMEE;75019;6 h - 1 h;Oui;;;"{""coordinates"": [[2.3790339650916446, 48.88883561898796]], ""type"": ""MultiPoint""}";48.88883561898796,2.3790339650916446
SANISETTE;;213  RUE DE BELLEVILLE;75019;6 h - 22 h;Oui;;;"{""coordinates"": [[2.394776616457134, 48.87544598661789]], ""type"": ""MultiPoint""}";48.87544598661789,2.394776616457134
SANISETTE;;64  RUE DU VOLGA;75020;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4089887074025595, 48.85271966367163]], ""type"": ""MultiPoint""}";48.85271966367163,2.4089887074025595
SANISETTE;;face au 375 RUE DES PYRENEES;75020;6 h - 1 h;Oui;;;"{""coordinates"": [[2.389751715108938, 48.87368018535096]], ""type"": ""MultiPoint""}";48.87368018535096,2.389751715108938
SANISETTE;;8  RUE D ARCOLE;;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3493988910325565, 48.8540198901374]], ""type"": ""MultiPoint""}";48.8540198901374,2.3493988910325565
SANISETTE;;face au 12 RUE DE BABYLONE;;24 h / 24;Oui;;;"{""coordinates"": [[2.325180137951545, 48.851626831079074]], ""type"": ""MultiPoint""}";48.851626831079074,2.325180137951545
SANISETTE;;face au 4 AVENUE DE MESSINE;;24 h / 24;Oui;;;"{""coordinates"": [[2.3151151715527374, 48.87541798841174]], ""type"": ""MultiPoint""}";48.87541798841174,2.3151151715527374
SANISETTE;;29  RUE ROLAND BARTHES;75012;24 h / 24;Oui;;;"{""coordinates"": [[2.3774441851341352, 48.8444926838465]], ""type"": ""MultiPoint""}";48.8444926838465,2.3774441851341352
SANISETTE;;259 bis AVENUE DAUMESNIL;75012;6 h - 22 h;Oui;;;"{""coordinates"": [[2.4043941454835926, 48.83651368622266]], ""type"": ""MultiPoint""}";48.83651368622266,2.4043941454835926
SANISETTE;;117  BOULEVARD VINCENT AURIOL;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.36512631285455, 48.833717304602885]], ""type"": ""MultiPoint""}";48.833717304602885,2.36512631285455
SANISETTE;;46  RUE CHARLES MOUREU;75013;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3607783123277315, 48.829082146443014]], ""type"": ""MultiPoint""}";48.829082146443014,2.3607783123277315
SANISETTE;;face au 40 AVENUE REILLE;75014;24 h / 24;Oui;;;"{""coordinates"": [[2.338538930462, 48.82444207894634]], ""type"": ""MultiPoint""}";48.82444207894634,2.338538930462
SANISETTE;;RUE DES MARINIERS;75014;6 h - 22 h;Oui;;;"{""coordinates"": [[2.3111981116311777, 48.82760820526359]], ""type"": ""MultiPoint""}";48.82760820526359,2.3111981116311777
